inserttime,MonitorAddress,每GURL量
2021-01-25 00:00:10+00:00,广东广州南方基地3.1栋203机房,1359185.110652921
2021-01-25 00:05:14+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 00:06:14+00:00,广东广州南方基地3.1栋203机房,1305115.446866772
2021-01-25 00:07:37+00:00,广东广州南方基地3.1栋203机房,1391155.6376068376
2021-01-25 00:07:49+00:00,广东广州南方基地3.1栋203机房,1343108.58575126
2021-01-25 00:10:10+00:00,广东广州南方基地3.1栋203机房,1412704.5340276957
2021-01-25 00:15:14+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 00:16:14+00:00,广东广州南方基地3.1栋203机房,1381960.4624584718
2021-01-25 00:17:37+00:00,广东广州南方基地3.1栋203机房,1381717.8850388927
2021-01-25 00:17:49+00:00,广东广州南方基地3.1栋203机房,1366111.8785322648
2021-01-25 00:20:10+00:00,广东广州南方基地3.1栋203机房,1378378.2276437033
2021-01-25 00:25:14+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 00:26:14+00:00,广东广州南方基地3.1栋203机房,1312132.4701656357
2021-01-25 00:27:37+00:00,广东广州南方基地3.1栋203机房,1364382.9616103838
2021-01-25 00:27:49+00:00,广东广州南方基地3.1栋203机房,1288721.002453787
2021-01-25 00:30:10+00:00,广东广州南方基地3.1栋203机房,1361013.2703659977
2021-01-25 00:35:14+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 00:36:14+00:00,广东广州南方基地3.1栋203机房,1258210.5713187235
2021-01-25 00:37:37+00:00,广东广州南方基地3.1栋203机房,1350729.118104907
2021-01-25 00:37:49+00:00,广东广州南方基地3.1栋203机房,1284744.8824370394
2021-01-25 00:40:10+00:00,广东广州南方基地3.1栋203机房,1331694.1833883668
2021-01-25 00:45:14+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 00:46:14+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 00:47:37+00:00,广东广州南方基地3.1栋203机房,1314185.1077153839
2021-01-25 00:47:49+00:00,广东广州南方基地3.1栋203机房,1282050.0088278567
2021-01-25 00:50:10+00:00,广东广州南方基地3.1栋203机房,1276371.944794684
2021-01-25 00:55:14+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 00:56:14+00:00,广东广州南方基地3.1栋203机房,1263527.9907084785
2021-01-25 00:57:37+00:00,广东广州南方基地3.1栋203机房,1297504.6746104492
2021-01-25 00:57:49+00:00,广东广州南方基地3.1栋203机房,1247003.5142224494
2021-01-25 01:00:10+00:00,广东广州南方基地3.1栋203机房,1307005.0819470116
2021-01-25 01:05:14+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 01:06:14+00:00,广东广州南方基地3.1栋203机房,1234181.2265609514
2021-01-25 01:07:37+00:00,广东广州南方基地3.1栋203机房,1271907.5368737099
2021-01-25 01:07:49+00:00,广东广州南方基地3.1栋203机房,1228180.4230535894
2021-01-25 01:10:10+00:00,广东广州南方基地3.1栋203机房,1277253.9014473897
2021-01-25 01:15:14+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 01:16:14+00:00,广东广州南方基地3.1栋203机房,1195290.3374485597
2021-01-25 01:17:37+00:00,广东广州南方基地3.1栋203机房,1232858.690480443
2021-01-25 01:17:49+00:00,广东广州南方基地3.1栋203机房,1191669.3964497042
2021-01-25 01:20:10+00:00,广东广州南方基地3.1栋203机房,1218241.0214639516
2021-01-25 01:25:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 01:26:14+00:00,广东广州南方基地3.1栋203机房,1180182.987755102
2021-01-25 01:27:37+00:00,广东广州南方基地3.1栋203机房,1212637.4507474913
2021-01-25 01:27:49+00:00,广东广州南方基地3.1栋203机房,1158639.2964539006
2021-01-25 01:30:10+00:00,广东广州南方基地3.1栋203机房,1219782.131496556
2021-01-25 01:35:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 01:36:14+00:00,广东广州南方基地3.1栋203机房,1177043.9205298014
2021-01-25 01:37:37+00:00,广东广州南方基地3.1栋203机房,1162492.9882352941
2021-01-25 01:37:49+00:00,广东广州南方基地3.1栋203机房,1098731.8509038554
2021-01-25 01:40:10+00:00,广东广州南方基地3.1栋203机房,1209389.000896861
2021-01-25 01:45:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 01:46:14+00:00,广东广州南方基地3.1栋203机房,1144763.6268330733
2021-01-25 01:47:37+00:00,广东广州南方基地3.1栋203机房,1223268.4244372991
2021-01-25 01:47:49+00:00,广东广州南方基地3.1栋203机房,1123957.5004608296
2021-01-25 01:50:10+00:00,广东广州南方基地3.1栋203机房,1198340.154944817
2021-01-25 01:55:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 01:56:14+00:00,广东广州南方基地3.1栋203机房,1146527.6559139786
2021-01-25 01:57:37+00:00,广东广州南方基地3.1栋203机房,1193213.903201787
2021-01-25 01:57:49+00:00,广东广州南方基地3.1栋203机房,1135764.01179941
2021-01-25 02:00:10+00:00,广东广州南方基地3.1栋203机房,1184643.4845735028
2021-01-25 02:05:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 02:06:14+00:00,广东广州南方基地3.1栋203机房,1115775.7622291022
2021-01-25 02:07:37+00:00,广东广州南方基地3.1栋203机房,1171923.2833136094
2021-01-25 02:07:49+00:00,广东广州南方基地3.1栋203机房,1104154.2332155476
2021-01-25 02:10:10+00:00,广东广州南方基地3.1栋203机房,1128896.4806248122
2021-01-25 02:15:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 02:16:14+00:00,广东广州南方基地3.1栋203机房,1109114.2093925031
2021-01-25 02:17:37+00:00,广东广州南方基地3.1栋203机房,1165248.0224640225
2021-01-25 02:17:49+00:00,广东广州南方基地3.1栋203机房,1104940.6042632067
2021-01-25 02:20:10+00:00,广东广州南方基地3.1栋203机房,1174418.2456579565
2021-01-25 02:25:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 02:26:14+00:00,广东广州南方基地3.1栋203机房,1079009.604221636
2021-01-25 02:27:37+00:00,广东广州南方基地3.1栋203机房,1143065.9524405508
2021-01-25 02:27:49+00:00,广东广州南方基地3.1栋203机房,1063005.9449541285
2021-01-25 02:30:10+00:00,广东广州南方基地3.1栋203机房,1148730.1013166704
2021-01-25 02:35:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 02:36:14+00:00,广东广州南方基地3.1栋203机房,1102371.740958789
2021-01-25 02:37:37+00:00,广东广州南方基地3.1栋203机房,1100276.2063582714
2021-01-25 02:37:49+00:00,广东广州南方基地3.1栋203机房,1072870.0158870255
2021-01-25 02:40:10+00:00,广东广州南方基地3.1栋203机房,1102317.082240763
2021-01-25 02:45:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 02:46:14+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 02:47:37+00:00,广东广州南方基地3.1栋203机房,1040670.5717732208
2021-01-25 02:47:49+00:00,广东广州南方基地3.1栋203机房,1049140.6612816371
2021-01-25 02:50:10+00:00,广东广州南方基地3.1栋203机房,1094809.9677978698
2021-01-25 02:55:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 02:56:14+00:00,广东广州南方基地3.1栋203机房,1063344.676056338
2021-01-25 02:57:37+00:00,广东广州南方基地3.1栋203机房,1111866.8841761828
2021-01-25 02:57:49+00:00,广东广州南方基地3.1栋203机房,1057526.1096136568
2021-01-25 03:00:10+00:00,广东广州南方基地3.1栋203机房,1093422.051583415
2021-01-25 03:05:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 03:06:14+00:00,广东广州南方基地3.1栋203机房,1052056.4292826848
2021-01-25 03:07:37+00:00,广东广州南方基地3.1栋203机房,1049751.533632287
2021-01-25 03:07:49+00:00,广东广州南方基地3.1栋203机房,1023977.3909843606
2021-01-25 03:10:10+00:00,广东广州南方基地3.1栋203机房,1058043.9548532732
2021-01-25 03:15:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 03:16:14+00:00,广东广州南方基地3.1栋203机房,1053585.9187768754
2021-01-25 03:17:37+00:00,广东广州南方基地3.1栋203机房,1042289.5731414868
2021-01-25 03:17:48+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 03:20:09+00:00,广东广州南方基地3.1栋203机房,915340.642389311
2021-01-25 03:25:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 03:26:14+00:00,广东广州南方基地3.1栋203机房,1032152.5204819277
2021-01-25 03:27:37+00:00,广东广州南方基地3.1栋203机房,1064880.1522394987
2021-01-25 03:27:48+00:00,广东广州南方基地3.1栋203机房,1030515.4204660588
2021-01-25 03:30:09+00:00,广东广州南方基地3.1栋203机房,1056096.524590164
2021-01-25 03:35:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 03:36:14+00:00,广东广州南方基地3.1栋203机房,1034623.6069600818
2021-01-25 03:37:37+00:00,广东广州南方基地3.1栋203机房,1042225.6124031008
2021-01-25 03:37:48+00:00,广东广州南方基地3.1栋203机房,1026334.3656154061
2021-01-25 03:40:09+00:00,广东广州南方基地3.1栋203机房,1054699.8842580302
2021-01-25 03:45:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 03:46:14+00:00,广东广州南方基地3.1栋203机房,1063772.7536231885
2021-01-25 03:47:37+00:00,广东广州南方基地3.1栋203机房,1089987.3388590931
2021-01-25 03:47:48+00:00,广东广州南方基地3.1栋203机房,1024107.2373363688
2021-01-25 03:50:09+00:00,广东广州南方基地3.1栋203机房,1073612.224719101
2021-01-25 03:55:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 03:56:14+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 03:57:37+00:00,广东广州南方基地3.1栋203机房,1037825.4083520881
2021-01-25 03:57:48+00:00,广东广州南方基地3.1栋203机房,1032742.6556259133
2021-01-25 04:00:09+00:00,广东广州南方基地3.1栋203机房,1071537.5182481753
2021-01-25 04:05:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 04:06:14+00:00,广东广州南方基地3.1栋203机房,1023854.3280719281
2021-01-25 04:07:37+00:00,广东广州南方基地3.1栋203机房,1058943.7817933855
2021-01-25 04:07:48+00:00,广东广州南方基地3.1栋203机房,1033379.2463768116
2021-01-25 04:10:09+00:00,广东广州南方基地3.1栋203机房,1050558.7206915182
2021-01-25 04:15:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 04:16:14+00:00,广东广州南方基地3.1栋203机房,1016453.3216630197
2021-01-25 04:17:36+00:00,广东广州南方基地3.1栋203机房,1042365.2833168806
2021-01-25 04:17:48+00:00,广东广州南方基地3.1栋203机房,982341.0926989336
2021-01-25 04:20:09+00:00,广东广州南方基地3.1栋203机房,1020808.1540740741
2021-01-25 04:25:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 04:26:14+00:00,广东广州南方基地3.1栋203机房,987434.5422740525
2021-01-25 04:27:36+00:00,广东广州南方基地3.1栋203机房,1031563.7050147493
2021-01-25 04:27:48+00:00,广东广州南方基地3.1栋203机房,1001485.4789005033
2021-01-25 04:30:09+00:00,广东广州南方基地3.1栋203机房,1024200.2853707415
2021-01-25 04:35:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 04:36:14+00:00,广东广州南方基地3.1栋203机房,961654.5684210527
2021-01-25 04:37:36+00:00,广东广州南方基地3.1栋203机房,1008161.1466425775
2021-01-25 04:37:48+00:00,广东广州南方基地3.1栋203机房,967592.9791555319
2021-01-25 04:40:09+00:00,广东广州南方基地3.1栋203机房,1026839.5780635003
2021-01-25 04:45:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 04:46:14+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 04:47:36+00:00,广东广州南方基地3.1栋203机房,1041308.2418174817
2021-01-25 04:47:48+00:00,广东广州南方基地3.1栋203机房,998998.9757322175
2021-01-25 04:50:09+00:00,广东广州南方基地3.1栋203机房,1047061.8108303249
